method,axis,label,n_rows,n_unique_questions,suppressed_count,forgotten_count,suppressed_rate_for_label,suppressed_rate_for_method,method_centered_effect,ci95_low,ci95_high
RR,topic_category,viral_vector_research,13,13,12,1,0.9230769230769231,0.6947368421052632,0.22834008097165992,0.0552412280701754,0.368421052631579
RepNoise,topic_category,bioweapons_bioterrorism,8,8,5,3,0.625,0.7066666666666667,-0.08166666666666667,-0.47111111111111115,0.2866666666666666
RepNoise,topic_category,dual_use_virology,49,49,33,16,0.673469387755102,0.7066666666666667,-0.033197278911564654,-0.14201868770764126,0.07545707070707065
RepNoise,topic_category,enhanced_potential_pandemic_pathogens,38,38,27,11,0.7105263157894737,0.7066666666666667,0.0038596491228070073,-0.12737865497076023,0.13282051282051277
RepNoise,topic_category,expanding_access,2,2,2,0,1.0,0.7066666666666667,0.29333333333333333,0.21999999999999997,0.3666666666666667
RepNoise,topic_category,reverse_genetics_easy_editing,37,37,30,7,0.8108108108108109,0.7066666666666667,0.10414414414414419,-0.014299539170506859,0.21763949433304267
RepNoise,topic_category,viral_vector_research,16,16,9,7,0.5625,0.7066666666666667,-0.14416666666666667,-0.38000000000000006,0.08168055555555535
TAR,topic_category,bioweapons_bioterrorism,2,2,1,1,0.5,0.7107438016528925,-0.21074380165289253,-0.7603305785123967,0.33884297520661155
TAR,topic_category,dual_use_virology,36,36,28,8,0.7777777777777778,0.7107438016528925,0.06703397612488526,-0.05016045696160188,0.18611111111111098
TAR,topic_category,enhanced_potential_pandemic_pathogens,32,32,25,7,0.78125,0.7107438016528925,0.07050619834710747,-0.06887052341597799,0.19407238529495585
TAR,topic_category,expanding_access,4,4,3,1,0.75,0.7107438016528925,0.039256198347107474,-0.6528925619834711,0.3471074380165289
TAR,topic_category,reverse_genetics_easy_editing,26,26,18,8,0.6923076923076923,0.7107438016528925,-0.018436109345200236,-0.1807402084081926,0.13619914689416157
TAR,topic_category,viral_vector_research,21,21,11,10,0.5238095238095238,0.7107438016528925,-0.1869342778433687,-0.38370956316410865,0.005753041424978191
