label_a,label_b,n_questions_with_both_labels,jaccard_similarity,p_label_b_given_a,p_label_a_given_b
is_learn,is_cannot_determine,0,0.0,0.0,0.0
is_release,is_ideation,23,0.08679245283018867,0.11219512195121951,0.27710843373493976
is_release,is_design,85,0.1239067055393586,0.4146341463414634,0.1501766784452297
is_release,is_build,37,0.06156405990016639,0.18048780487804877,0.08545034642032333
is_release,is_test,14,0.04895104895104895,0.06829268292682927,0.14736842105263157
is_release,is_learn,8,0.03305785123966942,0.03902439024390244,0.17777777777777778
is_release,is_release,205,1.0,1.0,1.0
is_release,is_test_learn,21,0.0670926517571885,0.1024390243902439,0.16279069767441862
is_release,is_background_knowledge,51,0.0905861456483126,0.24878048780487805,0.12469437652811736
is_release,is_cannot_determine,0,0.0,0.0,0.0
is_test_learn,is_ideation,8,0.0392156862745098,0.06201550387596899,0.0963855421686747
is_test_learn,is_design,54,0.0842433697347894,0.4186046511627907,0.09540636042402827
is_test_learn,is_build,40,0.07662835249042145,0.31007751937984496,0.09237875288683603
is_test_learn,is_test,95,0.7364341085271318,0.7364341085271318,1.0
is_test_learn,is_learn,45,0.3488372093023256,0.3488372093023256,1.0
is_test_learn,is_release,21,0.0670926517571885,0.16279069767441862,0.1024390243902439
is_test_learn,is_test_learn,129,1.0,1.0,1.0
is_test_learn,is_background_knowledge,5,0.009380863039399626,0.03875968992248062,0.012224938875305624
is_test_learn,is_cannot_determine,0,0.0,0.0,0.0
is_background_knowledge,is_ideation,0,0.0,0.0,0.0
is_background_knowledge,is_design,12,0.012461059190031152,0.029339853300733496,0.02120141342756184
is_background_knowledge,is_build,18,0.021844660194174758,0.044009779951100246,0.04157043879907621
is_background_knowledge,is_test,4,0.008,0.009779951100244499,0.042105263157894736
is_background_knowledge,is_learn,1,0.002207505518763797,0.0024449877750611247,0.022222222222222223
is_background_knowledge,is_release,51,0.0905861456483126,0.12469437652811736,0.24878048780487805
is_background_knowledge,is_test_learn,5,0.009380863039399626,0.012224938875305624,0.03875968992248062
is_background_knowledge,is_background_knowledge,409,1.0,1.0,1.0
is_background_knowledge,is_cannot_determine,42,0.10268948655256724,0.10268948655256724,1.0
is_cannot_determine,is_ideation,0,0.0,0.0,0.0
is_cannot_determine,is_design,0,0.0,0.0,0.0
is_cannot_determine,is_build,0,0.0,0.0,0.0
is_cannot_determine,is_test,0,0.0,0.0,0.0
is_cannot_determine,is_learn,0,0.0,0.0,0.0
is_cannot_determine,is_release,0,0.0,0.0,0.0
is_cannot_determine,is_test_learn,0,0.0,0.0,0.0
is_cannot_determine,is_background_knowledge,42,0.10268948655256724,1.0,0.10268948655256724
is_cannot_determine,is_cannot_determine,42,1.0,1.0,1.0
