method,label,n_rows_with_label,n_unique_questions_with_label,suppressed_count_with_label,forgotten_count_with_label,suppressed_rate_with_label,suppressed_rate_for_method,method_centered_effect,ci95_low,ci95_high
PB_J,is_learn,5,5,4,1,0.8,0.5384615384615384,0.2615384615384616,-0.058441558441558406,0.5064935064935066
PB_J,is_release,18,18,11,7,0.6111111111111112,0.5384615384615384,0.07264957264957272,-0.09908739291650676,0.24741436925647384
PB_J,is_test_learn,9,9,7,2,0.7777777777777778,0.5384615384615384,0.23931623931623935,0.0,0.4794520547945206
PB_J,is_background_knowledge,32,32,13,19,0.40625,0.5384615384615384,-0.13221153846153844,-0.25468975468975463,-0.02034210526315802
PB_J,is_cannot_determine,3,3,1,2,0.3333333333333333,0.5384615384615384,-0.20512820512820512,-0.5833333333333334,0.47435897435897434
RMU-LAT,is_ideation,0,0,0,0,,0.5876288659793815,,,
RMU-LAT,is_design,52,52,30,22,0.5769230769230769,0.5876288659793815,-0.010705789056304593,-0.08182629870129868,0.058889202939513864
RMU-LAT,is_build,30,30,15,15,0.5,0.5876288659793815,-0.08762886597938147,-0.2079806370765624,0.028921422865905155
RMU-LAT,is_test,4,4,3,1,0.75,0.5876288659793815,0.16237113402061853,-0.532258064516129,0.46153846153846156
RMU-LAT,is_learn,5,5,4,1,0.8,0.5876288659793815,0.21237113402061858,-0.11538461538461542,0.46153846153846156
RMU-LAT,is_release,14,14,10,4,0.7142857142857143,0.5876288659793815,0.12665684830633284,-0.053865348399246726,0.3211758474576268
RMU-LAT,is_test_learn,9,9,7,2,0.7777777777777778,0.5876288659793815,0.19014891179839633,-0.06456989247311831,0.43333333333333335
RMU-LAT,is_background_knowledge,33,33,19,14,0.5757575757575758,0.5876288659793815,-0.011871290221805664,-0.12049826604724202,0.09480789464752391
RMU-LAT,is_cannot_determine,1,1,0,1,0.0,0.5876288659793815,-0.5876288659793815,-0.6610169491525424,-0.5147058823529411
RR,is_ideation,0,0,0,0,,0.6947368421052632,,,
RR,is_design,48,48,37,11,0.7708333333333334,0.6947368421052632,0.07609649122807016,0.004391646489104102,0.14912850307587144
RR,is_build,31,31,23,8,0.7419354838709677,0.6947368421052632,0.04719864176570454,-0.05434782608695654,0.15358336928386532
RR,is_test,9,9,7,2,0.7777777777777778,0.6947368421052632,0.08304093567251458,-0.16666666666666663,0.3220338983050848
RR,is_learn,5,5,3,2,0.6,0.6947368421052632,-0.09473684210526323,-0.6783292978208233,0.3220338983050848
RR,is_release,12,12,8,4,0.6666666666666666,0.6947368421052632,-0.02807017543859658,-0.25,0.18473613017847032
RR,is_test_learn,12,12,8,4,0.6666666666666666,0.6947368421052632,-0.02807017543859658,-0.2557377049180327,0.17922427035330235
RR,is_background_knowledge,37,37,21,16,0.5675675675675675,0.6947368421052632,-0.12716927453769566,-0.22651004566841001,-0.033161385408990385
RR,is_cannot_determine,3,3,2,1,0.6666666666666666,0.6947368421052632,-0.02807017543859658,-0.7017543859649122,0.35
RepNoise,is_ideation,0,0,0,0,,0.7066666666666667,,,
RepNoise,is_design,88,88,62,26,0.7045454545454546,0.7066666666666667,-0.0021212121212120794,-0.0501963323935021,0.04444465552178324
RepNoise,is_build,52,52,39,13,0.75,0.7066666666666667,0.043333333333333335,-0.02944950277670147,0.12365921554726104
RepNoise,is_test,6,6,4,2,0.6666666666666666,0.7066666666666667,-0.040000000000000036,-0.38405797101449274,0.3033707865168539
RepNoise,is_learn,7,7,5,2,0.7142857142857143,0.7066666666666667,0.007619047619047636,-0.3448994252873563,0.30706397562833226
RepNoise,is_release,26,26,25,1,0.9615384615384616,0.7066666666666667,0.2548717948717949,0.1874938725490196,0.3298969072164949
RepNoise,is_test_learn,12,12,8,4,0.6666666666666666,0.7066666666666667,-0.040000000000000036,-0.25831304112554115,0.17091836734693877
RepNoise,is_background_knowledge,45,45,28,17,0.6222222222222222,0.7066666666666667,-0.08444444444444443,-0.1773308000604961,0.007082872810404379
RepNoise,is_cannot_determine,6,6,4,2,0.6666666666666666,0.7066666666666667,-0.040000000000000036,-0.38851660939289806,0.3063659554730979
TAR,is_ideation,0,0,0,0,,0.7107438016528925,,,
TAR,is_design,76,76,55,21,0.7236842105263158,0.7107438016528925,0.012940408873423292,-0.034203829839301765,0.059859154929577496
TAR,is_build,43,43,30,13,0.6976744186046512,0.7107438016528925,-0.013069383048241345,-0.09876543209876543,0.0745951832977149
TAR,is_test,7,7,5,2,0.7142857142857143,0.7107438016528925,0.0035419126328217754,-0.32882882882882886,0.30379746835443033
TAR,is_learn,6,6,5,1,0.8333333333333334,0.7107438016528925,0.12258953168044084,-0.19620253164556967,0.3292682926829268
TAR,is_release,17,17,13,4,0.7647058823529411,0.7107438016528925,0.0539620807000486,-0.09722587719298244,0.20833333333333326
TAR,is_test_learn,11,11,8,3,0.7272727272727273,0.7107438016528925,0.016528925619834767,-0.2051666666666667,0.2666666666666667
TAR,is_background_knowledge,34,34,23,11,0.6764705882352942,0.7107438016528925,-0.03427321341759837,-0.13875759731022894,0.07410281545555507
TAR,is_cannot_determine,3,3,3,0,1.0,0.7107438016528925,0.2892561983471075,0.22666666666666668,0.35064935064935066
